subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,link,id,age,sex,education,handedness,completionCode,,,,,,,
6,Chrome,88.0.4324.182,1536,864,Windows,en-US,2021-02-17_22:42:58,2021-02-17_17:42:58,https://www.testable.org/experiment/31/222638/start?hitId=3VW0145YM1I1CZ1BWE5T2OAQMG4JMU&workerId=A2E0LU8V4EUX5C&assignmentId=3GA6AFUKOSU7LRW5SY2VIWHT2HI3H7&a=KAAG2&tp_a=KAAG2&b=3GA6AFUKOSU7LRW5SY2VIWHT2HI3H7&tp_b=3GA6AFUKOSU7LRW5SY2VIWHT2HI3H7&c=276272&tp_c=276272,participant5,28,male,Bachelor degree,left-handed,w4JInfp8g1wFAHF9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
rowNo,condition1,condition2,condition3,trialNo,target,key,ITI,presTime,stimFormat,random,randomBlock,keyboard,subjectGroup,responseWindow,ITI_ms,ITI_f,ITI_fDuration,presTime_fDuration,timestamp,response,RT,correct
986,ordinary,scenario5,fast,674,<b>On your way you ought to </b><br> <br>  mentally recite your agenda items.,f,600,1500,word,1,1 2,f j,6,1550,600,36,16.67,NaN,101376,timeout,1543,0
994,flouting,scenario5,fast,682,<b>On your way you ought to </b><br> <br>  climb into bed and take a nap.,f,600,1500,word,1,1 2,f j,6,1550,600,36,16.67,NaN,103526,timeout,1548,0
987,ordinary,scenario5,fast,675,<b>On your way you ought to </b><br> <br>  stop your car at the traffic light.,f,600,1500,word,1,1 2,f j,6,1550,600,36,16.67,NaN,105459,j,1323,0
999,immoral,scenario5,fast,687,<b>On your way you ought to </b><br> <br>  park in the middle of the highway.,f,600,1500,word,1,1 2,f j,6,1550,600,36,16.67,NaN,107254,j,1202,0
995,flouting,scenario5,fast,683,<b>On your way you ought to </b><br> <br>  watch a movie at a theater.,f,600,1500,word,1,1 2,f j,6,1550,600,36,16.67,NaN,108851,j,1004,0
984,ordinary,scenario5,fast,672,<b>On your way you ought to </b><br> <br>  brainstorm suggestions for the group.,f,600,1500,word,1,1 2,f j,6,1550,600,36,16.67,NaN,110368,f,918,1
991,impossible,scenario5,fast,679,<b>On your way you ought to </b><br> <br>  jump over the Great Wall of China.,j,600,1500,word,1,1 2,f j,6,1550,600,36,16.67,NaN,111940,j,978,1
997,immoral,scenario5,fast,685,<b>On your way you ought to </b><br> <br>  steer your car into a small dog.,f,600,1500,word,1,1 2,f j,6,1550,600,36,16.67,NaN,113755,j,1221,0
996,immoral,scenario5,fast,684,<b>On your way you ought to </b><br> <br>  hit a pedestrian with your car.,f,600,1500,word,1,1 2,f j,6,1550,600,36,16.67,NaN,115227,j,881,0
989,impossible,scenario5,fast,677,<b>On your way you ought to </b><br> <br>  read the minds of people close by.,j,600,1500,word,1,1 2,f j,6,1550,600,36,16.67,NaN,116891,j,1063,1
993,flouting,scenario5,fast,681,<b>On your way you ought to </b><br> <br>  go on a long scenic walk,f,600,1500,word,1,1 2,f j,6,1550,600,36,16.67,NaN,118537,j,1056,0
985,ordinary,scenario5,fast,673,<b>On your way you ought to </b><br> <br>  turn on the radio to listen to music.,f,600,1500,word,1,1 2,f j,6,1550,600,36,16.67,NaN,120153,j,1024,0
992,flouting,scenario5,fast,680,<b>On your way you ought to </b><br> <br>  board an international flight.,f,600,1500,word,1,1 2,f j,6,1550,600,36,16.66,NaN,121603,j,855,0
988,impossible,scenario5,fast,676,<b>On your way you ought to</b><br> <br>  see the future; the event is a success.,j,600,1500,word,1,1 2,f j,6,1550,600,36,16.67,NaN,123105,j,904,1
990,impossible,scenario5,fast,678,<b>On your way you ought to </b><br> <br>  take a walk on the planet Neptune.,j,600,1500,word,1,1 2,f j,6,1550,600,36,16.67,NaN,124555,j,856,1
998,immoral,scenario5,fast,686,<b>On your way you ought to </b><br> <br>  decide to rob a bank instead.,f,600,1500,word,1,1 2,f j,6,1550,600,36,16.67,NaN,126017,j,866,0
1002,ordinary,scenario6,fast,688,<b>During your class you ought to </b><br> <br>  take notes on the lecture slide.,f,600,1500,word,1,1 3,f j,6,1550,600,36,16.66,NaN,135194,f,792,1
1010,flouting,scenario6,fast,696,<b>During your class you ought to </b><br> <br>  give your toenails a trim.,f,600,1500,word,1,1 3,f j,6,1550,600,36,16.67,NaN,136779,j,981,0
