subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,link,id,age,sex,education,handedness,completionCode,,,,,,,
2,Chrome,87.0.4280.101,962,601,Linux,en-US,2021-02-17_22:58:07,2021-02-17_17:58:07,https://www.testable.org/experiment/31/222638/start?hitId=3VW0145YM1I1CZ1BWE5T2OAQMG4JMU&workerId=A20N1NK5X5S88F&assignmentId=3IUZPWIU1SDVEFZ183GU0L8ISRGWKA&a=UPUI2&tp_a=UPUI2&b=3IUZPWIU1SDVEFZ183GU0L8ISRGWKA&tp_b=3IUZPWIU1SDVEFZ183GU0L8ISRGWKA&c=276272&tp_c=276272,participant1,34,male,High school or equivalent ,left-handed,kgqGreSxKl153RTB,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
rowNo,condition1,condition2,condition3,trialNo,target,key,ITI,presTime,stimFormat,random,randomBlock,keyboard,subjectGroup,responseWindow,ITI_ms,ITI_f,ITI_fDuration,presTime_fDuration,timestamp,response,RT,correct
271,ordinary,scenario3,fast,180,<b>In the library you ought to </b><br> <br>  drink from the water fountain.,f,600,1500,word,1,1 4,f j,2,1550,599,33,18.18,NaN,73865,timeout,1527,0
269,ordinary,scenario3,fast,178,<b>In the library you ought to </b><br> <br>  read one book's inside cover.,f,600,1500,word,1,1 4,f j,2,1550,600,32,18.75,NaN,75588,j,1076,0
283,immoral,scenario3,fast,192,<b>In the library you ought to </b><br> <br>  take a book without checking it out.,f,600,1500,word,1,1 4,f j,2,1550,600,30,20,NaN,77724,timeout,1532,0
275,impossible,scenario3,fast,184,<b>In the library you ought to </b><br> <br>  exit having aged seventeen years,j,600,1500,word,1,1 4,f j,2,1550,600,36,16.67,NaN,79875,timeout,1530,0
281,immoral,scenario3,fast,190,<b>In the library you ought to </b><br> <br>  hide a dead body in the bathroom.,f,600,1500,word,1,1 4,f j,2,1550,600,36,16.67,NaN,81751,j,1230,0
276,flouting,scenario3,fast,185,<b>In the library you ought to </b><br> <br>  scream at the top of your lungs.,f,600,1500,word,1,1 4,f j,2,1550,600,36,16.67,NaN,83900,timeout,1533,0
278,flouting,scenario3,fast,187,<b>In the library you ought to </b><br> <br>  set up an elaborate cooking spread.,f,600,1500,word,1,1 4,f j,2,1550,600,34,17.65,NaN,85777,j,1237,0
273,impossible,scenario3,fast,182,<b>In the library you ought to </b><br> <br>  make all the books disappear.,j,600,1500,word,1,1 4,f j,2,1550,600,35,17.15,NaN,87425,j,1033,1
274,impossible,scenario3,fast,183,<b>In the library you ought to </b><br> <br>  melt your least favorite book.,j,600,1500,word,1,1 4,f j,2,1550,600,35,17.15,NaN,89011,j,966,1
282,immoral,scenario3,fast,191,<b>In the library you ought to </b><br> <br>  push someone down the stairs.,f,600,1500,word,1,1 4,f j,2,1550,600,33,18.19,NaN,90362,j,735,0
270,ordinary,scenario3,fast,179,<b>In the library you ought to </b><br> <br>  check out three different books.,f,600,1500,word,1,1 4,f j,2,1550,600,35,17.15,NaN,91724,j,727,0
279,flouting,scenario3,fast,188,<b>In the library you ought to </b><br> <br>  play music on a portable speaker.,f,600,1500,word,1,1 4,f j,2,1550,600,36,16.67,NaN,93186,j,849,0
272,impossible,scenario3,fast,181,<b>In the library you ought to </b><br> <br>  read every book in the building.,j,600,1500,word,1,1 4,f j,2,1550,600,36,16.67,NaN,94738,f,947,0
280,immoral,scenario3,fast,189,<b>In the library you ought to </b><br> <br>  leave a book to soak in a toilet.,f,600,1500,word,1,1 4,f j,2,1550,600,35,17.15,NaN,96101,j,755,0
268,ordinary,scenario3,fast,177,<b>In the library you ought to </b><br> <br> ask the librarian for advice.,f,600,1500,word,1,1 4,f j,2,1550,600,36,16.66,NaN,97550,f,839,1
277,flouting,scenario3,fast,186,<b>In the library you ought to </b><br> <br>  place cookbooks in the kid's section.,f,600,1500,word,1,1 4,f j,2,1550,600,35,17.15,NaN,98924,j,759,0
219,impossible,scenario8,fast,134,<b>In the elevator you ought to </b><br> <br> run part of a half marathon.,j,600,1500,word,1,1 1,f j,2,1550,600,36,16.66,NaN,103198,timeout,1538,0
222,flouting,scenario8,fast,137,<b>In the elevator you ought to </b><br> <br> hold the hand of a stranger.,f,600,1500,word,1,1 1,f j,2,1550,600,33,18.19,NaN,104564,j,753,0
228,immoral,scenario8,fast,143,<b>In the elevator you ought to </b><br> <br> hold the other passengers hostage.,f,600,1500,word,1,1 1,f j,2,1550,683,36,16.67,NaN,105950,j,674,0
