subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,link,id,age,sex,education,handedness,completionCode,,,,,,,
3,Chrome,88.0.4324.150,1920,1080,Windows,en-US,2021-02-17_22:48:13,2021-02-17_16:48:13,https://www.testable.org/experiment/31/222638/start?hitId=3VW0145YM1I1CZ1BWE5T2OAQMG4JMU&workerId=A2Y0WNHMT4PZ4C&assignmentId=3TU5ZICBRH76ZH1EN5KLIRH59Q68Q0&a=BZUT2&tp_a=BZUT2&b=3TU5ZICBRH76ZH1EN5KLIRH59Q68Q0&tp_b=3TU5ZICBRH76ZH1EN5KLIRH59Q68Q0&c=276272&tp_c=276272,participant3,53,male,College or Technical school,right-handed,vcvcBpqX4s6HsJRm,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
rowNo,condition1,condition2,condition3,trialNo,target,key,ITI,presTime,stimFormat,random,randomBlock,keyboard,subjectGroup,responseWindow,ITI_ms,ITI_f,ITI_fDuration,presTime_fDuration,timestamp,response,RT,correct
559,flouting,scenario6,slow,393,<b>During your class you ought to </b><br> <br>  scream out your favorite song.,f,600,,word,1,2 4,f j,3,,601,36,16.68,,168465,j,2869,0
564,immoral,scenario6,slow,398,<b>During your class you ought to </b><br> <br>  hold your entire class hostage.,f,600,,word,1,2 4,f j,3,,601,36,16.69,,171697,j,2632,0
558,flouting,scenario6,slow,392,<b>During your class you ought to </b><br> <br>  give your toenails a trim.,f,600,,word,1,2 4,f j,3,,601,36,16.68,,173881,j,1581,0
554,impossible,scenario6,slow,388,<b>During your class you ought to </b><br> <br>  push over a large towering tree,j,600,,word,1,2 4,f j,3,,601,36,16.68,,176169,j,1699,1
551,ordinary,scenario6,slow,385,<b>During your class you ought to </b><br> <br>  retrieve an eraser from your bag.,f,600,,word,1,2 4,f j,3,,601,36,16.68,,178809,f,2037,1
561,flouting,scenario6,slow,395,<b>During your class you ought to </b><br> <br>  sit facing the back of the classroom.,f,600,,word,1,2 4,f j,3,,601,36,16.68,,182641,j,3232,0
557,impossible,scenario6,slow,391,<b>During your class you ought to </b><br> <br>  hold your breath for an hour.,j,600,,word,1,2 4,f j,3,,601,36,16.68,,184281,j,1051,1
562,immoral,scenario6,slow,396,<b>During your class you ought to </b><br> <br>  skin a cat for personal enjoyment.,f,600,,word,1,2 4,f j,3,,601,36,16.68,,186049,j,1167,0
563,immoral,scenario6,slow,397,<b>During your class you ought to </b><br> <br>  set fire to the professor's hair.,f,600,,word,1,2 4,f j,3,,601,36,16.68,,187722,j,1072,0
553,ordinary,scenario6,slow,387,<b>During your class you ought to </b><br> <br>  turn to the next page in your notes.,f,600,,word,1,2 4,f j,3,,601,36,16.68,,189992,f,1674,1
560,flouting,scenario6,slow,394,<b>During your class you ought to </b><br> <br>  play a board game with your friend.,f,600,,word,1,2 4,f j,3,,601,36,16.68,,191920,j,1332,0
550,ordinary,scenario6,slow,384,<b>During your class you ought to </b><br> <br>  take notes on the lecture slide.,f,600,,word,1,2 4,f j,3,,601,36,16.68,,193729,f,1205,1
555,impossible,scenario6,slow,389,<b>During your class you ought to </b><br> <br>  use your mind to charge your phone.,j,600,,word,1,2 4,f j,3,,601,36,16.68,,196545,j,2219,1
552,ordinary,scenario6,slow,386,<b>During your class you ought to </b><br> <br>  raise your hand to ask a question.,f,600,,word,1,2 4,f j,3,,601,36,16.69,,198529,f,1383,1
565,immoral,scenario6,slow,399,<b>During your class you ought to </b><br> <br>  throw a brick at your professor.,f,600,,word,1,2 4,f j,3,,601,36,16.69,,200121,j,989,0
556,impossible,scenario6,slow,390,<b>During your class you ought to </b><br> <br>  build a small hut on a mountain.,j,600,,word,1,2 4,f j,3,,601,36,16.68,,202273,j,1556,1
532,ordinary,scenario5,slow,368,<b>On your way you ought to </b><br> <br>  brainstorm suggestions for the group.,f,600,,word,1,2 3,f j,3,,601,36,16.68,,230520,f,1920,1
544,immoral,scenario5,slow,380,<b>On your way you ought to </b><br> <br>  hit a pedestrian with your car.,f,600,,word,1,2 3,f j,3,,601,36,16.68,,232016,j,898,0
540,flouting,scenario5,slow,376,<b>On your way you ought to </b><br> <br>  board an international flight.,f,600,,word,1,2 3,f j,3,,601,36,16.68,,233736,j,1116,0
539,impossible,scenario5,slow,375,<b>On your way you ought to </b><br> <br>  jump over the Great Wall of China.,j,600,,word,1,2 3,f j,3,,601,36,16.68,,235433,j,1094,1
547,immoral,scenario5,slow,383,<b>On your way you ought to </b><br> <br>  park in the middle of the highway.,f,600,,word,1,2 3,f j,3,,601,36,16.69,,237088,j,1064,0
538,impossible,scenario5,slow,374,<b>On your way you ought to </b><br> <br>  take a walk on the planet Neptune.,j,600,,word,1,2 3,f j,3,,601,36,16.68,,239176,j,1482,1
545,immoral,scenario5,slow,381,<b>On your way you ought to </b><br> <br>  steer your car into a small dog.,f,600,,word,1,2 3,f j,3,,601,36,16.68,,240976,j,1199,0
533,ordinary,scenario5,slow,369,<b>On your way you ought to </b><br> <br>  turn on the radio to listen to music.,f,600,,word,1,2 3,f j,3,,601,36,16.68,,242792,j,1210,0
535,ordinary,scenario5,slow,371,<b>On your way you ought to </b><br> <br>  stop your car at the traffic light.,f,600,,word,1,2 3,f j,3,,601,36,16.68,,244304,j,921,0
543,flouting,scenario5,slow,379,<b>On your way you ought to </b><br> <br>  watch a movie at a theater.,f,600,,word,1,2 3,f j,3,,601,36,16.68,,247321,j,2419,0
